zone,date,param,value,units
2,2020-02-05,"Hardness (total, as CaCO3)",12,mg/L
2,2020-05-07,"Hardness (total, as CaCO3)",13,mg/L
2,2020-08-13,"Hardness (total, as CaCO3)",13,mg/L
2,2020-11-13,"Hardness (total, as CaCO3)",13,mg/L
2,2019-02-11,"Hardness (total, as CaCO3)",12,mg/L
2,2019-05-23,"Hardness (total, as CaCO3)",12,mg/L
2,2019-08-14,"Hardness (total, as CaCO3)",14,mg/L
2,2019-11-06,"Hardness (total, as CaCO3)",12,mg/L
2,2021-02-04,"Hardness (total, as CaCO3)",14,mg/L
2,2021-05-06,"Hardness (total, as CaCO3)",18,mg/L
1,2020-05-07,"Hardness (total, as CaCO3)",41,mg/L
1,2019-05-16,"Hardness (total, as CaCO3)",32,mg/L
1,2021-01-26,"Hardness (total, as CaCO3)",44,mg/L
1,2021-05-06,"Hardness (total, as CaCO3)",42,mg/L
